x,y,z
-5.878621418746106,-3.2126279149862005,5.692494289938169
-5.888308340422711,-3.2280092251484116,5.802444264400878
-6.466594620464591,-1.6783165237885844,6.880282807261101
-6.4357684290796575,-1.676630160233499,6.851511768584806
-5.694913013845464,-3.026542244556961,6.29155905424904
-5.685281859443811,-3.022034628565119,6.28315393029904
-5.910591654484524,-3.9417382013948727,6.656401294157882
-5.913510141485866,-3.9713721134997377,6.708063758247862
-5.77386423014738,-3.8578294812542335,6.520594919733394
-5.790726152842232,-3.8663202129408165,6.536477028365743
-5.794237258704941,-3.793698671169534,6.679206198212117
-5.789947031466842,-3.789164520689942,6.674511412303771
-7.534619543179965,-4.167507279944831,8.487711360648275
-1.0,-1.0,-1.0
-5.402036491006135,-3.2666976121590583,6.490908821027774
-5.08084090937247,-2.605801813957189,6.166722595021073
-6.1189688767737795,-3.716493981386189,7.529747120353603
-6.114413367738139,-3.7159047480953653,7.529709640224804
-5.21825746089095,-3.293676653564679,6.710962615761896
-5.581792231225468,-2.106120080026695,7.256499772218093
-5.212071654350479,-3.714632657773247,7.14106380578789
-8.98311534073592,-8.255102811678483,12.579506422093914
-4.854047576530513,-3.349887744176571,6.987407155180873
-4.761905616581646,-3.2336933822655873,7.09243333249424
-4.874541236762547,-3.871515830816414,7.34932039764771
-4.437159728849051,-2.6917299713566627,6.80498644992462
-4.396982958667421,-2.668753246565365,6.7777127023159744
-4.722509081455628,-3.6318646202319314,7.677266330717263
-4.168495066408353,-2.1194333416188824,6.9552970954909785
-4.415941868329253,-3.9103801917446255,7.547485954615444
-4.167034097285698,-3.4652114700461114,7.296599924394335
-4.341337169841662,-4.060479838582351,7.6250993462426075
-3.839231298329049,-2.3322949814472933,6.769338684311086
-3.892285380569514,-2.361742497011044,6.855582624937355
-4.252548597070409,-4.099610047802239,7.5752811862027425
-4.228618914657632,-4.458012178035396,7.546963635405099
-4.265857137150001,-3.5160541601928488,7.66247173221291
-4.297810809367139,-4.3508324484853835,7.743334467623434
-3.792794730956735,-4.626201478592597,7.386490339601547
-3.2661505067622816,-2.6407627092065806,6.778432205778266
-3.3250594317016784,-2.963515431642796,6.982143121879117
-3.3482430233206637,-4.205411022276858,7.1356966392975805
-3.338800703725534,-3.1636433161424033,7.158634890487247
-3.326066069960716,-3.167851212097036,7.136678298165929
-3.2446698967226753,-3.798503819906393,7.231753446628212
-3.2346643908406674,-3.5878552529776884,7.376205872585949
-3.016657235119323,-2.828767831203513,7.201188279458035
-3.1400719379533335,-3.77015982250326,7.540937474144865
-3.2380833845589123,-4.087789836816562,7.744779102913816
-3.152909913510657,-2.472152849387144,7.6110182167384295
-3.0225304217636433,-2.409147725230121,7.617977087349487
-3.0343365520520362,-4.117141491526798,7.582675252342233
-2.960374054631837,-3.5549691184377377,7.523062221812916
-2.989405103351635,-3.548990709775758,7.80389944080472
-2.7823403053974562,-2.4798132859422823,7.45701283008097
-2.9328760199046418,-2.43310483334392,8.100018098165512
-2.869691493727437,-2.401678868047221,7.950488144777003
-3.011876206886592,-0.13092677369395858,8.338746221584461
-2.8984672067643182,-1.9798695078207196,8.094165009058608
-2.8796647481656037,-2.476153030747833,8.144216796854455
-2.940229065127334,-4.842543922377915,8.442334639980913
-2.786503277187326,-2.0514786310982567,8.041165828376423
-2.786503277187326,-2.0514786310982567,8.041165828376423
-2.9321719077279456,0.6462905452402145,8.686144619170157
-2.7606471005268256,0.6304340527623068,8.22581668940433
-1.0,-1.0,-1.0
-5.1284817773875675,-0.9179167305251833,15.895445294858671
-2.810683657185147,-4.901410601718533,8.823112009875006
-2.795738935904113,-5.301924200036701,8.824913341724152
-2.724539312816458,0.41479084213912687,8.931438065301709
-2.7202115495819,-4.753526357792896,8.918468011086158
-2.7596462117756695,-4.873030267008557,9.163212659772968
-2.733156972987302,-5.213640840221813,9.078917761325952
-2.6963268889924676,-4.001541955323289,8.984868347369108
-2.6972259485556886,-4.00214994312055,8.987367953477598
-2.7378491150152042,-1.0950140589571429,9.209660140941212
-1.7957325889493772,-0.07501561730954663,6.062297471688062
-2.308982582825208,-4.251525002319602,8.30234982122266
-2.5213204281676624,-0.551219727311417,9.48222478323962
-2.452063342603818,-4.407382137365879,9.288217342137811
-2.392939417013325,-2.4075380719091797,9.216802016156647
-2.3287768352723472,0.5368169671872625,9.32538099428548
